sample,tissue,instar,day,sex,dsx1,dsx6,fru,dmrt99B1,dmrt99B2,dmrt99B3,dmrt99B5,dmrt93B1,dmrt93B3,dmrt93B4a,dmrt93B4b,dmrt93B5,dsx2,dsx2b,dsx3,dsx4,ix
003_L4_d5_vAb,sternites,L4,d5, j,0.6271236154936446,0,0.9955726283589167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
004_L4_d5_vAb,sternites,L4,d5, j,0.8788590841119068,1.1540608883741512,0.9960650814099155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
005_L4_d5_vAb,sternites,L4,d5, j,0.9120399382543769,0.874599121560968,0.9979910120568811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
006_L4_d5_vAb,sternites,L4,d5, j,1.3730668238310044,0.7892601350976464,1.1345288055989444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
007_L4_d5_vAb,sternites,L4,d5, j,0,0,1.004298129475478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001_L5_d1_vAb,sternites,L5,d1, j,0.9732053676991692,1.166671428633394,1.021729483516202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010_L5_d1_F_vAb,sternites,L5,d1,f,0.941399722291606,1.118425376118905,0.972515193186028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012_L5_d1_F_vAb,sternites,L5,d1,f,0.8394072272057203,0.7492684667845841,0.9344188891555298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
017_L5_d1_F_vAb,sternites,L5,d1,f,0.8355466371346608,0.7973199227909454,0.8966625575772194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
021_L5_d1_F_vAb,sternites,L5,d1,f,0.7843672155043564,0.7278994833665202,0.9642104717586957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
022_L5_d1_F_vAb,sternites,L5,d1,f,0.8887504402789985,0.8074902701529006,0.9601330016734596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
034_L5_d1_F_vAb,sternites,L5,d1,f,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
008_L5_d1_M_vAb,sternites,L5,d1,m,1.088875284019161,1.252405143763558,1.0980523665814197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
009_L5_d1_M_vAb,sternites,L5,d1,m,0.8893939841624416,0.8604030717194696,1.1474227429874855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
011_L5_d1_M_vAb,sternites,L5,d1,m,0.8284762294431095,0.8331505166360349,1.0796370121594059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
014_L5_d1_M_vAb,sternites,L5,d1,m,0.7188137857650959,0.48405694282716805,1.0876439736043455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
016_L5_d1_M_vAb,sternites,L5,d1,m,0.9156928232143732,0.8863688233299578,1.091929451329181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
019_L5_d6_F_vAb,sternites,L5,d6,f,1.0794009112225857,1.2704220805354847,0.9998008542158818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020_L5_d6_F_vAb,sternites,L5,d6,f,0.9817797810914562,0.955232226077149,0.9772302516939729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
023_L5_d6_F_vAb,sternites,L5,d6,f,0.8762188077505673,0.8032948309297004,1.0222364307922762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
024_L5_d6_F_vAb,sternites,L5,d6,f,0.839047662715403,0.7930363679872195,1.0960908266679998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025_L5_d6_F_vAb,sternites,L5,d6,f,0.9593405872269354,1.203722394000163,1.0329463108618728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026_L5_d6_F_vAb,sternites,L5,d6,f,0.7560136745338343,1.1017664511994782,1.0056201671623777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027_L5_d6_M_vAb,sternites,L5,d6,m,0.9946591871640945,1.224293625415144,1.1472832120605223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
028_L5_d6_M_vAb,sternites,L5,d6,m,0.9907747982505559,1.1856621473672564,1.1739157904407298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
030_L5_d6_M_vAb,sternites,L5,d6,m,0.9809151307044104,1.181305382108141,1.1026092480439778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
031_L5_d6_M_vAb,sternites,L5,d6,m,0.895684210128127,1.0831933617138367,1.1966030601918392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
035_L5_d6_M_vAb,sternites,L5,d6,m,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002_L4_d5_vis,viscera,L4,d5, j,0.42317299712228557,0,0.8839034254541298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003_L4_d5_vis,viscera,L4,d5, j,1.0059194706619417,0.6350775830562616,0.9586330539993417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
004_L4_d5_vis,viscera,L4,d5, j,0.6458105002595015,0.7901752795695721,0.8811977001520558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
