specimen.id,treatment,sex,Csize,curvature
T352n5,ix,female,302.581853021257,0.0742662409408979
T353n1,ix,female,307.362977601402,0.077069095921073
T353n3,ix,female,298.804942694877,0.0827956376039077
T353n4,ix,male,252.215560169383,0.0318090750879918
T353n6,ix,male,251.378422127101,0.0441064768249444
T330n1,none,female,230.207635745549,0.0649146639122391
T330n10,none,female,274.005677151243,0.0850345977810894
T330n12,none,female,244.562421025344,0.0937413130849136
T330n13,none,female,272.75711621229,0.0846420949487741
T330n14,none,female,271.630467935965,0.0767940749809292
T330n15,none,female,277.025347507729,0.0829266768749404
T330n16,none,female,271.306947577422,0.0823325329627207
T330n17,none,female,288.368591293234,0.084762513195137
T330n18,none,female,263.564033965183,0.076716903096288
T330n19,none,female,287.780780765113,0.0815258081096348
T330n2,none,female,298.154322457348,0.0954180008399922
T330n2,none,female,287.605887235209,0.098401878989925
T330n21,none,female,250.584206294899,0.0864719827551106
T330n22,none,female,280.696437853343,0.0698316204302806
T330n23,none,female,283.798833291784,0.0783335111185093
T330n24,none,female,298.307075194524,0.0773402719734947
T330n26,none,male,232.440195414744,0.0519202428960105
T330n27,none,male,250.443162769076,0.0470347214267279
T330n28,none,male,244.165699656788,0.040405925722443
T330n29,none,male,250.240772945666,0.0473865755170281
T330n3,none,female,243.233075884678,0.101528262766524
T330n30,none,male,253.084087914581,0.052883605822728
T330n32,none,male,253.780307440204,0.0581393223915209
T330n34,none,male,232.331181243022,0.0296143623341235
T330n35,none,male,255.208846938259,0.0417412207678995
T330n36,none,male,208.343733073762,0.029981518496097
T330n37,none,male,232.766931595629,0.0460495098981531
T330n39,none,male,239.847405192922,0.0566795654388655
T330n4,none,female,288.498026182349,0.0791867602780101
T330n40,none,male,240.866952670741,0.0509314507431123
T330n41,none,male,232.50398664109,0.0440341700833814
T330n43,none,male,236.277802495283,0.0446063499312449
T330n45,none,male,178.266654200947,0.0582822772865707
T330n46,none,male,273.182071967478,0.0589870369514584
T330n47,none,male,245.99683988982,0.0511911413432665
T330n48,none,male,239.769797004451,0.0501323137316376
T330n5,none,female,275.01595913288,0.0855318540986905
T330n50,none,male,213.420294775877,0.0357413191458354
T330n51,none,female,291.732373551133,0.0678810367828955
T330n53,none,male,262.304318598752,0.0320877126693789
T330n54,none,female,305.46940199561,0.0682648125889216
T330n55,none,male,260.51018320894,0.0449758783432299
T330n56,none,female,274.339206093478,0.0551549090969372
T330n6,none,female,256.102410071527,0.0797638702186405
T330n8,none,female,228.15957909508,0.0960964723210346
T330n9,none,female,245.472973213499,0.0986928217255525
