specimen.id,treatment,sex,Csize,curvature
T324n24,AmpR,female,237.615119426884,0.0869409817444546
T324n25,AmpR,female,242.64610010019,0.0930578126896023
T324n26,AmpR,male,267.240632306458,0.033895886854704
T324n27,AmpR,female,308.396570091894,0.060862528665587
T324n3,AmpR,female,275.312347868542,0.0601534853508938
T324n5,AmpR,female,294.309738578631,0.0707756769226765
T324n8,AmpR,female,324.963245784983,0.0788790510801841
T324n9,AmpR,female,294.927486379656,0.0536445657680465
T426n1,AmpR,female,260.07349388629,0.0657726288639007
T426n10,AmpR,female,264.275950055577,0.0759287873980053
T426n11,AmpR,male,216.297506021478,0.0569697495732157
T426n2,AmpR,male,264.937728532574,0.0484829176608083
T426n3,AmpR,male,268.875849086939,0.0478879084170724
T426n4,AmpR,male,256.999783830432,0.0413693118493109
T426n5,AmpR,male,257.781992302712,0.0468063493063915
T426n6,AmpR,male,259.214197142055,0.0351206863558656
T426n7,AmpR,male,236.4816177963,0.042948283343942
T426n8,AmpR,female,304.509806446725,0.0676385782907293
T426n9,AmpR,male,271.520819746029,0.0446716973943782
T438n1,AmpR,female,236.741420119083,0.0667594218443642
T438n10,AmpR,male,282.41498229064,0.0328148566158303
T438n11,AmpR,male,226.898782323217,0.0402692157037133
T438n12,AmpR,male,283.874776774706,0.029718156600149
T438n13,AmpR,male,284.076671966488,0.043129368060088
T438n14,AmpR,female,287.459369109599,0.0552853238228217
T438n15,AmpR,female,572.725234661247,0.0685600654106439
T438n16,AmpR,male,257.954345659158,0.0519936709875587
T438n17,AmpR,male,270.876765748231,0.039040789226305
T438n18,AmpR,female,204.019606900905,0.0633075398643151
T438n19,AmpR,female,233.628384881252,0.0557112910245793
T438n2,AmpR,female,221.597341382199,0.0933504050467423
T438n20,AmpR,female,136.240879818907,0.0600824762721226
T438n21,AmpR,female,272.875286764704,0.0913587185954677
T438n22,AmpR,female,279.70778402548,0.0784606009387059
T438n23,AmpR,male,249.133609847318,0.0294789797429451
T438n24,AmpR,male,283.583419042009,0.023186745176009
T438n25,AmpR,male,253.888864575734,0.0405898866193791
T438n3,AmpR,female,289.548307234254,0.0588245827959474
T438n4,AmpR,male,284.962375684152,0.0256087640553794
T438n5,AmpR,male,261.00148999149,0.0184920931915272
T438n6,AmpR,male,259.953842056624,0.0418369484731946
T438n7,AmpR,male,273.079556987418,0.0305947008355673
T438n8,AmpR,male,256.757559663673,0.0392743108592552
T438n9,AmpR,male,292.755491456228,0.04579719211619
T259n10,dsx,female,242.196283221321,0.0755500823448957
T259n2,dsx,female,281.375589243669,0.0768435422159808
T259n3,dsx,female,295.490928606766,0.0879102797594787
T259n5,dsx,male,265.634251472877,0.0480984809389953
T259n6,dsx,female,305.516684396195,0.08038759506434
T259n7,dsx,female,300.971390297779,0.0819397959678794
T259n8,dsx,female,281.1093104905,0.0830725786915806
T259n9,dsx,female,299.685019831007,0.0878795272922999
T261n10,dsx,female,290.793550287638,0.0730119028905421
T261n2,dsx,female,280.249492020553,0.0679849754483045
T261n3,dsx,female,186.650594546185,0.0276153751475257
T261n4,dsx,female,246.24448686124,0.0550093098843078
T261n5,dsx,female,275.418872910982,0.0698654321725293
T261n6,dsx,female,290.424593387758,0.0622290562011025
T261n7,dsx,female,241.568303253736,0.0486989120788572
T261n8,dsx,female,272.980666796102,0.0633702403542274
T261n9,dsx,female,254.811376863139,0.0711153973340779
T262n1,dsx,female,246.742330737508,0.0527076059114238
T262n11,dsx,male,232.766931595629,0.0503840248740337
T262n12,dsx,female,264.684298321184,0.066256536687291
T262n14,dsx,female,251.595795760669,0.0633221336296115
T262n15,dsx,female,276.78519728041,0.0709256030376798
T262n16,dsx,female,279.887278897932,0.060021324654899
T262n17,dsx,female,284.68799590702,0.0740917819781994
T262n18,dsx,female,293.40453681261,0.0622880289647525
T262n19,dsx,female,268.40102665808,0.0570955307417775
T262n2,dsx,female,287.055550179558,0.063498510989134
T262n3,dsx,male,242.008264321696,0.0291042116726565
T262n4,dsx,female,259.479821523327,0.0575882831021971
